face_id,x,y,z,closeness,betweenness
face_594,35752.243333,-638.924042,8530.516379,0.02267,0.000529
face_595,35650.749739,-143.930132,8530.516379,0.02363,1e-06
face_596,35567.243333,-28.930132,8530.516379,0.024053,0.001352
face_597,35467.243333,61.075958,8530.516379,0.024295,0.002664
face_598,35367.243333,115.7814,8530.516379,0.024533,0.002313
face_599,35367.243333,180.781402,8530.516379,0.024652,0.005022
face_600,35267.243333,261.075958,8530.516379,0.024849,0.010646
face_601,35167.243333,361.075958,8530.516379,0.025032,0.019303
face_602,35067.243333,461.075958,8530.516379,0.025197,0.024943
face_603,34967.243333,561.075958,8530.516379,0.02528,0.021903
face_604,34867.243333,661.075958,8530.516379,0.025337,0.015689
face_605,34767.243333,761.075958,8530.516379,0.025368,0.011279
face_606,34667.243333,861.075958,8530.516379,0.025249,0.010224
face_607,34567.243333,761.075958,8530.516379,0.025303,0.012542
face_608,34467.243333,661.075958,8530.516379,0.025328,0.022426
face_609,34367.243333,561.075958,8530.516379,0.02531,0.039207
face_610,34272.074187,462.308661,8530.516379,0.025268,0.111894
face_611,34273.659512,261.075958,8530.516379,0.025046,0.000646
face_612,34367.243333,196.109242,8530.516379,0.024922,0.00046
face_613,33982.274881,131.109242,8530.516379,0.023885,1e-06
face_614,32311.974402,61.075958,8530.516379,0.032439,0.00876
face_615,32367.243333,161.075958,8530.516379,0.032529,0.042302
face_616,32266.907798,260.421066,8530.516379,0.032561,0.068528
face_617,32167.243333,161.075958,8530.516379,0.033379,0.050213
face_618,32067.243333,61.075958,8530.516379,0.03382,0.030972
face_619,31967.243333,-38.924042,8530.516379,0.034171,0.051796
face_620,31867.243333,-138.924042,8530.516379,0.034483,0.085549
face_621,31767.243333,-238.924042,8530.516379,0.034722,0.084236
face_622,31667.243333,-338.924042,8530.516379,0.034292,0.054824
face_623,31567.243333,-438.924042,8530.516379,0.033776,0.100611
face_624,31667.243333,-538.924042,8530.516379,0.033105,0.019955
face_625,31767.243333,-638.924042,8530.516379,0.032429,0.02565
face_626,31867.243333,-738.924042,8530.516379,0.03175,0.026835
face_627,31951.93729,-638.924042,8530.516379,0.031648,0.002875
face_628,32016.937286,-838.924054,8530.516379,0.030029,0.000941
face_629,32067.243333,-938.924042,8530.516379,0.030043,0.001829
face_630,32167.243333,-1008.560412,8530.516379,0.029283,0.000632
face_631,32993.909298,-1811.217489,8530.516379,0.023404,2e-06
face_632,34894.062316,-1238.924042,8530.516379,0.022251,0.003133
face_633,34967.243333,-1338.924042,8530.516379,0.022272,0.005801
face_634,35067.243333,-1438.924042,8530.516379,0.022282,0.006688
