x,y,z,df
54490.935546875,-7034.85546875,-179.72142028808594,90.3
54598.189453125,-8178.1044921875,-179.72142028808594,0.0
54598.189453125,-7658.44580078125,-179.72142028808594,68.3
54598.189453125,-7554.51416015625,-179.72142028808594,70.85
54598.189453125,-7450.58251953125,-179.72142028808594,75.64
54598.189453125,-7346.650634765625,-179.72142028808594,81.15
54598.189453125,-7242.71875,-179.72142028808594,84.41
54598.189453125,-7138.787109375,-179.72142028808594,88.03
54598.189453125,-7034.85546875,-179.72142028808594,90.22
54705.443359375,-8178.1044921875,-179.72142028808594,0.0
54705.443359375,-7658.44580078125,-179.72142028808594,60.82
54705.443359375,-7554.51416015625,-179.72142028808594,65.07
54705.443359375,-7450.58251953125,-179.72142028808594,72.14
54705.443359375,-7346.650634765625,-179.72142028808594,78.11
54705.443359375,-7242.71875,-179.72142028808594,83.89
54705.443359375,-7138.787109375,-179.72142028808594,87.62
54705.443359375,-7034.85546875,-179.72142028808594,90.14
54812.697265625,-8178.1044921875,-179.72142028808594,0.0
54812.697265625,-8074.1728515625,-179.72142028808594,0.0
54812.697265625,-7970.2412109375,-179.72142028808594,0.0
54812.697265625,-7866.309326171875,-179.72142028808594,0.0
54812.697265625,-7762.37744140625,-179.72142028808594,39.97
54812.697265625,-7658.44580078125,-179.72142028808594,54.93
54812.697265625,-7554.51416015625,-179.72142028808594,61.75
54812.697265625,-7450.58251953125,-179.72142028808594,68.11
54812.697265625,-7346.650634765625,-179.72142028808594,75.56
54812.697265625,-7242.71875,-179.72142028808594,81.95
54812.697265625,-7138.787109375,-179.72142028808594,86.49
54812.697265625,-7034.85546875,-179.72142028808594,89.95
54050.3515625,-8257.323893229166,-179.72142028808594,0.0
54081.588541666664,-8289.848307291666,-179.72142028808594,0.0
54181.173177083336,-8259.959309895834,-179.72142028808594,0.0
54144.061197916664,-8289.848307291666,-179.72142028808594,0.0
54242.283854166664,-8289.848307291666,-179.72142028808594,0.0
54082.94921875,-8192.791015625,-179.72142028808594,0.0
54050.3515625,-8131.974934895833,-179.72142028808594,0.0
54050.3515625,-7917.235188802083,-179.72142028808594,14.93
54050.3515625,-8010.059895833333,-179.72142028808594,0.0
54082.94921875,-8065.322591145833,-179.72142028808594,0.0
54082.94921875,-7868.566080729167,-179.72142028808594,42.44
54082.94921875,-7966.9443359375,-179.72142028808594,9.45
54050.3515625,-7824.410319010417,-179.72142028808594,41.45
54340.5078125,-8289.848307291666,-179.72142028808594,0.0
54272.475260416664,-8111.703938802083,-179.72142028808594,0.0
54438.731770833336,-8289.848307291666,-179.72142028808594,0.0
54464.623697916664,-8097.269205729167,-179.72142028808594,0.0
54386.651041666664,-8259.959309895834,-179.72142028808594,0.0
54372.47265625,-8111.703938802083,-179.72142028808594,0.0
54250.647135416664,-7897.194173177083,-179.72142028808594,59.37
54250.647135416664,-7810.2353515625,-179.72142028808594,75.21
54236.723958333336,-7860.012044270833,-179.72142028808594,66.66
54236.723958333336,-7955.457356770833,-179.72142028808594,38.49
54250.647135416664,-8010.310384114583,-179.72142028808594,5.21
54314.893229166664,-8097.269205729167,-179.72142028808594,0.0
54407.634114583336,-8097.269205729167,-179.72142028808594,0.0
54236.723958333336,-8077.06005859375,-179.72142028808594,0.0
54283.911458333336,-8259.959309895834,-179.72142028808594,0.0
54050.3515625,-7731.585611979167,-179.72142028808594,80.19
54066.650390625,-7633.7518310546875,-179.72142028808594,90.08
54082.94921875,-7542.868977864583,-179.72142028808594,90.47
54066.650390625,-7462.710693359375,-179.72142028808594,90.88
54082.94921875,-7770.187662760417,-179.72142028808594,75.92
54050.3515625,-7295.4814453125,-179.72142028808594,91.15
54066.650390625,-7224.5596923828125,-179.72142028808594,88.66
54066.650390625,-7031.148681640625,-179.72142028808594,88.85
54066.650390625,-7127.854248046875,-179.72142028808594,86.0
54050.3515625,-6952.938313802083,-179.72142028808594,90.27
54066.650390625,-7366.0050048828125,-179.72142028808594,91.04
54343.388020833336,-7749.43408203125,-179.72142028808594,80.63
54236.723958333336,-7764.566731770833,-179.72142028808594,80.27
54400.967447916664,-7729.9228515625,-179.72142028808594,77.56
54464.623697916664,-7749.43408203125,-179.72142028808594,74.47
54272.475260416664,-7729.9228515625,-179.72142028808594,81.86
54265.38671875,-6938.056396484375,-179.72142028808594,91.37
54181.791666666664,-6953.000813802083,-179.72142028808594,91.1
54113.442708333336,-6923.111979166667,-179.72142028808594,91.37
54366.33203125,-6938.056396484375,-179.72142028808594,91.37
54441.515625,-6923.111979166667,-179.72142028808594,91.51
54489.389322916664,-8259.959309895834,-179.72142028808594,0.0
54536.954427083336,-8289.848307291666,-179.72142028808594,0.0
54592.127604166664,-8259.959309895834,-179.72142028808594,0.0
54500.96484375,-8111.703938802083,-179.72142028808594,0.0
54694.865885416664,-8259.959309895834,-179.72142028808594,0.0
54635.177083333336,-8289.848307291666,-179.72142028808594,0.0
54764.63671875,-8289.848307291666,-179.72142028808594,0.0
54572.467447916664,-8111.703938802083,-179.72142028808594,0.0
54500.96484375,-7729.9228515625,-179.72142028808594,73.32
54557.364583333336,-7749.43408203125,-179.72142028808594,70.03
54714.3515625,-8036.467936197917,-179.72142028808594,0.0
54621.610677083336,-8097.269205729167,-179.72142028808594,0.0
54714.3515625,-7949.509114583333,-179.72142028808594,0.0
54736.7109375,-8077.06005859375,-179.72142028808594,0.0
54700.959635416664,-8111.703938802083,-179.72142028808594,0.0
54897.190104166664,-8289.848307291666,-179.72142028808594,0.0
54915.220703125,-8177.594970703125,-179.72142028808594,0.0
54931.51953125,-8258.147786458334,-179.72142028808594,0.0
54915.220703125,-8078.0787353515625,-179.72142028808594,0.0
54736.7109375,-7886.16943359375,-179.72142028808594,0.0
54736.7109375,-7981.614908854167,-179.72142028808594,0.0
54915.220703125,-7879.046142578125,-179.72142028808594,0.41
54915.220703125,-7978.5625,-179.72142028808594,0.0
54915.220703125,-7779.5296630859375,-179.72142028808594,33.12
54714.3515625,-7836.392740885417,-179.72142028808594,0.0
54828.841145833336,-8259.959309895834,-179.72142028808594,0.0
54600.962239583336,-7729.9228515625,-179.72142028808594,66.88
54650.10546875,-7749.43408203125,-179.72142028808594,65.53
54700.959635416664,-7729.9228515625,-179.72142028808594,59.12
54736.7109375,-7764.566731770833,-179.72142028808594,40.66
54915.220703125,-7532.9466552734375,-179.72142028808594,60.3
54915.220703125,-7680.0133056640625,-179.72142028808594,47.56
54540.356770833336,-6923.111979166667,-179.72142028808594,91.48
54490.936197916664,-6953.000813802083,-179.72142028808594,91.1
54615.5390625,-6938.056396484375,-179.72142028808594,91.32
54716.484375,-6938.056396484375,-179.72142028808594,91.26
54817.4296875,-6938.056396484375,-179.72142028808594,91.15
54915.220703125,-7333.913818359375,-179.72142028808594,74.19
54931.51953125,-7606.47998046875,-179.72142028808594,53.21
54915.220703125,-7433.4302978515625,-179.72142028808594,66.55
54898.921875,-7051.045247395833,-179.72142028808594,88.77
54899.973958333336,-6923.111979166667,-179.72142028808594,91.21
54915.220703125,-7134.8812255859375,-179.72142028808594,85.26
54915.220703125,-7234.3974609375,-179.72142028808594,81.1
54931.51953125,-6986.512532552083,-179.72142028808594,89.86
54317.998046875,-8030.51953125,-179.72142028808594,0.0
54317.998046875,-7925.889892578125,-179.72142028808594,0.0
54317.998046875,-7821.26025390625,-179.72142028808594,0.0
54424.853515625,-8030.51953125,-179.72142028808594,0.0
54424.853515625,-7925.889892578125,-179.72142028808594,0.0
54424.853515625,-7821.26025390625,-179.72142028808594,0.0
54531.708984375,-8030.51953125,-179.72142028808594,0.0
54531.708984375,-7925.889892578125,-179.72142028808594,0.0
54531.708984375,-7821.26025390625,-179.72142028808594,0.0
54638.564453125,-8030.51953125,-179.72142028808594,0.0
54638.564453125,-7925.889892578125,-179.72142028808594,0.0
54638.564453125,-7821.26025390625,-179.72142028808594,0.0
53743.880859375,-8169.801513671875,-179.72142028808594,30.85
53743.880859375,-8065.076171875,-179.72142028808594,51.04
53743.880859375,-7960.350830078125,-179.72142028808594,70.14
53743.880859375,-7855.62548828125,-179.72142028808594,82.03
53743.880859375,-7750.89990234375,-179.72142028808594,85.97
